Year,Age Group,Value
1983,15-17,168320
1983,18-19,247660
1983,20-24,548460
1983,25-29,325310
1983,30-34,167160
1983,35-39,79050
1983,<15,16550
1983,>40,22500
1984,15-17,162780
1984,18-19,240750
1984,20-24,551440
1984,25-29,329300
1984,30-34,171370
1984,35-39,82800
1984,<15,17120
1984,>40,21620
1985,15-17,167580
1985,18-19,236310
1985,20-24,548350
1985,25-29,333280
1985,30-34,176120
1985,35-39,87510
1985,<15,17170
1985,>40,22230
1986,15-17,167210
1986,18-19,226670
1986,20-24,531710
1986,25-29,336480
1986,30-34,181430
1986,35-39,92690
1986,<15,15890
1986,>40,21910
1987,15-17,163060
1987,18-19,223180
1987,20-24,518610
1987,25-29,334510
1987,30-34,187180
1987,35-39,93980
1987,<15,14470
1987,>40,24110
1988,15-17,6029.423077
1988,18-19,8981.346154
1988,20-24,19868.26923
1988,25-29,13216.92308
1988,30-34,7447.692308
1988,35-39,3690.576923
1988,<15,508.2692308
1988,>40,981.9230769
1989,15-17,140860
1989,18-19,234650
1989,20-24,509740
1989,25-29,342530
1989,30-34,198430
1989,35-39,100370
1989,<15,12960
1989,>40,27330
1990,15-17,131580
1990,18-19,224130
1990,20-24,532820
1990,25-29,356870
1990,30-34,211920
1990,35-39,108710
1990,<15,12790
1990,>40,29820
1991,15-17,119780
1991,18-19,199170
1991,20-24,533600
1991,25-29,344890
1991,30-34,208200
1991,35-39,108440
1991,<15,12470
1991,>40,29990
1992,15-17,4429.807692
1992,18-19,6980
1992,20-24,20164.23077
1992,25-29,12904.03846
1992,30-34,8012.307692
1992,35-39,4257.5
1992,<15,482.8846154
1992,>40,1206.730769
1993,15-17,114690
1993,18-19,177430
1993,20-24,512640
1993,25-29,327940
1993,30-34,205770
1993,35-39,111820
1993,<15,12600
1993,>40,32100
1994,15-17,111960
1994,18-19,167080
1994,20-24,475750
1994,25-29,311870
1994,30-34,199820
1994,35-39,111080
1994,<15,12260
1994,>40,33190
1995,15-17,107590
1995,18-19,159350
1995,20-24,441060
1995,25-29,304940
1995,30-34,191800
1995,35-39,110320
1995,<15,11010
1995,>40,33370
1996,15-17,4060.576923
1996,18-19,6159.423077
1996,20-24,16500
1996,25-29,12013.46154
1996,30-34,7293.269231
1996,35-39,4293.461538
1996,<15,401.3461538
1996,>40,1318.076923
1997,15-17,99980
1997,18-19,159600
1997,20-24,422440
1997,25-29,312280
1997,30-34,185840
1997,35-39,110230
1997,<15,9810
1997,>40,34820
1998,15-17,96290
1998,18-19,156280
1998,20-24,418300
1998,25-29,309060
1998,30-34,183330
1998,35-39,110160
1998,<15,9530
1998,>40,36040
1999,15-17,89840
1999,18-19,154970
1999,20-24,422820
1999,25-29,305330
1999,30-34,183830
1999,35-39,111830
1999,<15,8890
1999,>40,37280
2000,15-17,3315.769231
2000,18-19,5856.346154
2000,20-24,16501.34615
2000,25-29,11546.15385
2000,30-34,7150.769231
2000,35-39,4240.961538
2000,<15,334.6153846
